Temps [s];Marche [s/j];Amplitude [°]
2154;1.7;285
2156;2.1;287
2158;1;288
2160;3.2;285
2162;0.2;289
2164;1;291
2166;2.1;289
2168;3.3;289
2170;1.3;290
2172;1.3;290
2174;3.4;285
2176;0.9;286
2178;1.9;289
2180;1.6;291
2182;4.8;285
2184;1.4;289
2186;2.9;287
2188;3.3;285
2190;4.1;284
2192;2;282
2194;2.3;283
2196;4.2;281
2198;1.4;280
2200;3;279
2202;1.5;277
2204;4.2;277
2206;0.7;276
2208;0.6;277
2210;0.7;278
2212;3.2;276
2214;-0.3;278
2216;0.7;279
2218;0.2;279
2220;3;280
2222;-0.2;282
2224;0.6;284
2226;1.3;284
2228;2.7;269
2230;1.1;285
2232;1.2;275
2234;3.4;283
2236;0.7;284
2238;1.7;286
2240;1.9;286
2242;4.3;282
2244;0.7;273
2246;1.9;284
2248;1.8;283
2250;4.4;281
2252;1.3;282
2254;2.2;279
2256;3.9;278
2258;1.9;270
2260;1.7;276
2262;0.6;278
2264;2.9;275
2266;0.3;274
2268;0.6;277
2270;-0.4;279
2272;3.6;278
2274;-1.2;279
2276;0.2;280
2278;0;277
2280;4;273
2282;0.3;286
2284;0.1;286
2286;1.3;287
2288;3.4;288
2290;0;288
2292;1.1;291
2294;2.6;288
2296;1.5;290
2298;1.8;290
2300;1.3;290
2302;5;289
2304;1;288
2306;2.1;289
2308;1.9;290
2310;4.1;285
2312;1.6;278
2314;1.7;286
2316;2.7;287
2318;3.7;281
2320;1.1;286
2322;1;281
2324;3.4;286
2326;1.3;283
2328;1.3;287
2330;0.2;290
2332;2.9;290
2334;0.6;291
2336;1.1;288
2338;0.4;295
2340;4.3;280
2342;0.8;295
2344;0.9;295
2346;2.1;295
2348;3.7;294
2350;1;293
2352;1.6;292
2354;4.1;296
2356;1.7;291
2358;3;293
2360;2.3;290
2362;6.5;284
2364;1.6;285
2366;2.6;285
2368;1.8;284
2370;4.9;281
2372;0.5;281
2374;1;281
2376;3;281
2378;2.7;278
2380;0.1;283
2382;0;286
2384;2.5;286
2386;1.7;283
2388;0.6;278
2390;0.1;289
2392;4.1;288
2394;0.3;288
2396;0.6;290
2398;0.4;295
2400;3.5;290
2402;1;295
2404;0.4;295
2406;1.5;296
2408;4.3;291
2410;0.7;291
2412;2.3;294
2414;4.6;289
2416;3.3;285
2418;3.5;287
2420;2.8;284
2422;2.3;279
2424;1.7;279
2426;1.9;276
2428;1.7;280
2430;3.5;275
2432;-0.5;278
2434;0.9;274
2436;2.2;280
2438;1.5;275
2440;1.2;281
2442;0.2;284
2444;3;282
2446;1.6;278
2448;1.2;282
2450;0.4;282
2452;3.3;284
2454;0.9;284
2456;1.7;283
2458;0.5;270
2460;4.2;280
2462;0.5;284
2464;0.6;286
2466;1.8;286
2468;4.6;283
2470;2;282
2472;2.5;283
2474;4.1;278
2476;1.9;273
2478;2;277
2480;0.9;276
2482;3.7;274
2484;-0.1;277
2486;-0.2;277
2488;0.5;277
2490;3.3;276
2492;-0.2;282
2494;0.1;283
2496;2;284
2498;2.3;279
2500;0.7;285
2502;0.6;282
2504;2.8;284
2506;1.8;279
2508;1;288
2510;0.9;287
2512;3.4;285
2514;1.1;287
2516;1.4;289
2518;0.8;291
2520;5;288
2522;2.3;287
2524;2.1;287
2526;2.5;284
2528;4.3;282
2530;0.5;284
2532;0.6;285
2534;2.7;283
2536;1.3;285
2538;1.2;290
2540;0.6;285
2542;3.5;288
2544;0.4;281
2546;0.6;292
2548;1;294
2550;2.8;284
2552;-0.3;293
2554;1.7;296
2556;3.7;293
2558;1.9;294
2560;1.7;294
2562;2.2;297
2564;4.3;293
2566;2.3;292
2568;2.4;293
2570;1.7;294
2572;4.9;289
2574;2.7;289
2576;3.9;288
2578;3.1;286
2580;5.2;279
2582;0.7;283
2584;0.6;283
2586;1.4;284
2588;3.1;282
2590;0.6;281
2592;0.7;286
2594;3;284
2596;0;286
2598;1.2;288
2600;0.4;288
2602;4.5;287
2604;-0.1;289
2606;0.9;292
2608;1.4;293
2610;3.4;290
2612;0.7;292
2614;1;293
2616;3.1;292
2618;2.5;277
2620;2.3;292
2622;2.2;291
2624;3.7;290
2626;1.5;288
2628;2.3;290
2630;1.4;290
2632;5.1;287
2634;1.7;286
2636;2.6;285
2638;1;286
2640;4.1;283
2642;1;284
2644;1.2;284
2646;1.3;283
2648;3.5;280
2650;0.2;285
2652;1.1;286
2654;3;285
2656;0.1;285
2658;1.3;289
2660;1.5;287
2662;4.2;285
2664;0.5;287
2666;1.7;289
2668;2.2;286
